block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150885.531250,248961136,0.005055,3.823396,3.823411,0.005068,51212,0.056716,6399,0.005173,604920.750000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,1.960716,799.750000,0.002872,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.140625,248962152,0.005055,3.823454,3.823469,0.005068,51213,0.057115,6399,0.005205,604932.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,1.960746,799.750000,0.002872,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.046875,248961975,0.005055,3.823456,3.823471,0.005068,51213,0.057833,6399,0.005324,604932.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,1.960747,799.750000,0.002872,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.140625,248925840,0.005055,3.823415,3.823430,0.005068,51205,0.058023,6398,0.005390,604838.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,1.960726,799.625000,0.002872,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.015625,248965234,0.005055,3.823482,3.823497,0.005068,51214,0.056838,6399,0.005157,604944.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,1.960760,799.750000,0.002872,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964249,0.005055,3.823497,3.823512,0.005068,51214,0.057184,6399,0.005221,604944.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,1.960768,799.750000,0.002872,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.546875,248966096,0.005055,3.823544,3.823559,0.005068,51215,0.061899,6399,0.005173,604956.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,1.960792,799.750000,0.002872,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.781250,248926891,0.005055,3.823547,3.823562,0.005068,51207,0.062196,6398,0.005207,604861.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,1.960793,799.625000,0.002872,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966085,0.005055,3.823619,3.823633,0.005068,51216,0.061248,6399,0.005338,604968.000000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,1.960830,799.750000,0.002872,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.968750,248963489,0.005055,3.823657,3.823672,0.005068,51216,0.061785,6399,0.005369,604967.875000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,1.960850,799.750000,0.002872,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.531250,248966063,0.005055,3.823618,3.823633,0.005068,51216,0.058776,6399,0.005259,604967.875000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,1.960829,799.750000,0.002872,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150863.218750,248924322,0.005055,3.823736,3.823751,0.005068,51209,0.059386,6398,0.005290,604885.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604882.750000,1.960890,799.625000,0.002872,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150886.937500,248963433,0.005055,3.823808,3.823823,0.005068,51218,0.058568,6399,0.005071,604991.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.250000,1.960927,799.750000,0.002872,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.093750,248963708,0.005055,3.823802,3.823818,0.005068,51218,0.058885,6399,0.005142,604991.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.000000,1.960924,799.750000,0.002872,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.421875,248964233,0.005055,3.823795,3.823810,0.005068,51218,0.057226,6399,0.005013,604991.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,1.960920,799.750000,0.002872,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.468750,248926369,0.005055,3.823928,3.823943,0.005068,51212,0.057449,6398,0.005079,604920.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604918.125000,1.960989,799.625000,0.002872,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.156250,248965453,0.005055,3.823927,3.823942,0.005068,51220,0.057878,6399,0.005024,605015.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605012.875000,1.960988,799.750000,0.002872,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150887.937500,248965109,0.005055,3.823931,3.823946,0.005068,51220,0.058348,6399,0.005077,605015.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605012.750000,1.960991,799.750000,0.002872,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150888.562500,248966128,0.005055,3.824065,3.824080,0.005068,51222,0.063495,6399,0.005095,605038.750000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605036.375000,1.961059,799.750000,0.002872,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150864.875000,248927048,0.005055,3.824068,3.824083,0.005068,51214,0.062375,6398,0.005126,604944.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,1.961061,799.625000,0.002872,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150889.203125,248967180,0.005055,3.824124,3.824139,0.005068,51223,0.063103,6399,0.005254,605050.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605048.250000,1.961089,799.750000,0.002872,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150889.828125,248968229,0.005055,3.824256,3.824271,0.005068,51225,0.063543,6399,0.005289,605074.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,1.961157,799.750000,0.002872,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150889.593750,248967835,0.005055,3.824262,3.824277,0.005068,51225,0.059220,6399,0.005546,605074.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,1.961160,799.750000,0.002872,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150866.031250,248928957,0.005055,3.824337,3.824353,0.005068,51218,0.059476,6398,0.005577,604991.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,1.961199,799.625000,0.002872,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.421875,248969196,0.005055,3.824465,3.824480,0.005068,51228,0.063041,6399,0.005251,605109.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605107.125000,1.961264,799.750000,0.002872,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.843750,248969882,0.005055,3.824530,3.824545,0.005068,51229,0.063343,6399,0.005295,605121.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605119.125000,1.961297,799.750000,0.002872,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.343750,248969077,0.005055,3.824617,3.824632,0.005068,51230,0.061473,6399,0.005078,605133.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605130.875000,1.961342,799.750000,0.002872,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150867.515625,248931389,0.005055,3.824823,3.824838,0.005068,51225,0.062064,6398,0.005142,605074.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605071.875000,1.961447,799.625000,0.002872,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150890.953125,248970073,0.005055,3.824900,3.824915,0.005068,51234,0.057916,6399,0.005037,605180.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605178.125000,1.961487,799.750000,0.002872,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150891.328125,248970689,0.005055,3.825040,3.825055,0.005068,51236,0.058339,6399,0.005062,605204.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605201.750000,1.961559,799.750000,0.002872,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150891.515625,248971005,0.005055,3.825259,3.825274,0.005068,51239,0.057150,6399,0.005022,605239.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605237.125000,1.961671,799.750000,0.002872,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150869.171875,248934135,0.005055,3.825452,3.825467,0.005068,51234,0.057757,6398,0.005079,605180.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605178.125000,1.961770,799.625000,0.002872,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150893.562500,248974384,0.005055,3.825731,3.825746,0.005068,51246,0.057888,6399,0.005074,605322.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605320.000000,1.961913,799.750000,0.002872,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150894.578125,248976050,0.005055,3.825928,3.825943,0.005068,51249,0.058226,6399,0.005131,605357.625000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605355.250000,1.962014,799.750000,0.002872,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150895.921875,248978266,0.005054,3.826417,3.826432,0.005068,51256,0.059065,6399,0.005239,605440.375000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605438.000000,1.962265,799.750000,0.002872,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150873.968750,248942042,0.005054,3.826823,3.826838,0.005068,51254,0.059570,6398,0.005301,605416.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605414.250000,1.962474,799.625000,0.002872,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150899.468750,248984115,0.005054,3.827595,3.827611,0.005068,51273,0.061440,6399,0.005336,605641.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605638.750000,1.962869,799.750000,0.002872,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150903.203125,248990289,0.005054,3.828696,3.828711,0.005068,51289,0.061777,6399,0.005372,605830.250000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,605827.875000,1.963434,799.750000,0.002872,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150909.125000,249000063,0.005054,3.830784,3.830800,0.005067,51319,0.061598,6399,0.005162,606184.500000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,606182.125000,1.964505,799.750000,0.002872,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150911.937500,249004681,0.005053,3.843776,3.843792,0.005067,51494,0.062251,6398,0.005223,608251.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,608249.375000,1.971167,799.625000,0.002871,
