block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30421.197266,50194975,6015,399,2412442,8412,2410108,8403,93.779236,99.652542,99.644768,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30409.730469,50176057,6014,400,2413043,5515,2415356,5544,93.763641,99.771484,99.763535,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30426.867188,50204331,6014,400,2418331,1963,2417198,1966,93.763641,99.918816,99.910667,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30433.289062,50214926,6013,400,2416980,1807,2418132,1784,93.762672,99.925789,99.917633,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30410.685547,50177631,6014,400,2417054,1440,2419587,1472,93.763641,99.939827,99.931656,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30419.195312,50191671,6014,400,2415802,5257,2413239,5255,93.763641,99.782791,99.774826,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30451.500000,50244976,6014,400,2410952,10065,2408527,10105,93.763641,99.583237,99.575531,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30405.908203,50169749,6014,399,2417799,454,2420176,462,93.778259,99.981071,99.972862,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30402.750000,50164535,6014,400,2418369,453,2420461,460,93.763641,99.981140,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30411.617188,50179168,6014,400,2418891,2030,2416830,1991,93.763641,99.916916,99.908775,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30466.740234,50270122,6014,400,2417608,1371,2419390,1373,93.763641,99.943306,99.935120,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30471.777344,50278433,6013,400,2418968,1464,2417185,1463,93.762672,99.939514,99.931343,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30442.208984,50229645,6014,400,2418061,1013,2419862,996,93.763641,99.958488,99.950294,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30452.800781,50247121,6014,400,2418987,1870,2417192,1881,93.763641,99.922493,99.914345,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30418.332031,50190246,6015,399,2419168,2566,2415648,2549,93.779236,99.894318,99.886223,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30419.039062,50191418,6013,400,2416454,1459,2419984,1466,93.762672,99.939560,99.931381,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30402.898438,50164785,6014,400,2419137,1560,2417882,1542,93.763641,99.935905,99.927742,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30425.085938,50201390,6014,400,2413621,5803,2414883,5813,93.763641,99.760002,99.752075,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30432.281250,50213266,6014,400,2416866,2066,2419291,2086,93.763641,99.914223,99.906082,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30426.917969,50204417,6013,400,2418069,2930,2415631,2923,93.762672,99.879059,99.870964,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30455.574219,50251695,6014,400,2419315,1867,2417339,1883,93.763641,99.922531,99.914383,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30460.126953,50259206,6015,399,2419171,145,2421130,146,93.779236,99.993988,99.985771,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30467.746094,50271779,6014,400,2417133,4422,2414629,4408,93.763641,99.817581,99.809570,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30451.103516,50244318,6013,400,2417333,1373,2419854,1371,93.762672,99.943306,99.935127,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30461.171875,50260933,6014,400,2419590,411,2420464,410,93.763641,99.983040,99.974808,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30467.810547,50271887,6014,400,2420064,858,2419169,880,93.763641,99.964096,99.955894,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30430.783203,50210791,6014,400,2417694,2693,2417976,2702,93.763641,99.888557,99.880447,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30442.203125,50229635,6013,400,2416360,4082,2416083,4068,93.762672,99.831627,99.823601,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30406.996094,50171546,6015,399,2418214,1814,2419574,1841,93.779236,99.924507,99.916374,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30404.238281,50166993,6014,400,2420501,1008,2419116,1007,93.763641,99.958382,99.950188,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30416.548828,50187306,6014,400,2418350,1148,2421276,1141,93.763641,99.952721,99.944534,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30412.996094,50181443,6013,400,2420724,1457,2417782,1480,93.762672,99.939331,99.931168,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30434.199219,50216428,6014,400,2418713,1556,2420756,1553,93.763641,99.935799,99.927635,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30440.419922,50226692,6014,400,2421537,913,2419493,917,93.763641,99.962212,99.954010,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30452.851562,50247205,6014,400,2421865,546,2420563,548,93.763641,99.977417,99.969193,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30465.115234,50267440,6014,399,2418320,2696,2419618,2698,93.778259,99.888626,99.880554,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30437.685547,50222181,6014,400,2421226,1355,2421204,1343,93.763641,99.944313,99.936150,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30433.076172,50214578,6014,400,2422755,548,2422787,551,93.763641,99.977325,99.969109,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30418.765625,50190963,6014,400,2423238,1779,2422671,1787,93.763641,99.926468,99.918320,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30452.441406,50246528,6012,401,2430433,2294,2431008,2278,93.747078,99.906044,99.897942,
